"","ages","Freq"
"1","65",0.1253
"2","66",0.2425
"3","67",0.1539
"4","68",0.0483
"5","69",0.0331
"6","70",0.0411
"7","71",0.0391
"8","72",0.038
"9","73",0.0378
"10","74",0.0278
"11","75",0.037
"12","76",0.0361
"13","77",0.0233
"14","78",0.0233
"15","79",0.02
"16","80",0.0183
"17","81",0.0128
"18","82",0.01
"19","83",0.0074
"20","84",0.0048
"21","85",0.0059
"22","86",0.0033
"23","87",0.0037
"24","88",0.0017
"25","89",0.0017
"26","90",0.0013
"27","91",9e-04
"28","92",7e-04
"29","93",6e-04
"30","95",2e-04
